Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
Public Class,2,2,2,1,15,0,13,0,1,12,0,1,2,7,1,8,13,0,2,0,6,135,13,116,24,91,6,84,101,25,76,9,9,9,1,2,3,87,0.05,17,17,17,8,HIGH
Public Class,3,3,3,1,16,0,16,1,2,16,0,0,7,24,13,24,196,0,20,1,3,490,36,438,135,322,53,251,328,114,214,11,11,12,3,4,4,89,0.12,77,77,81,26,HIGH
Public Class,1,1,1,1,6,0,5,0,3,10,0,0,0,15,1,15,32,0,0,0,15,155,40,88,24,34,29,32,51,24,27,5,5,7,1,5,2,6,0.33,19,19,21,15,HIGH
Public Class,5,4,5,2,29,7,18,3,1,23,0,0,1,22,11,22,58,2,8,1,11,707,181,432,66,292,94,220,327,83,244,21,21,23,19,2,4,88,0.22,117,107,124,62,HIGH
Public Class,1,1,2,1,8,0,4,2,1,5,0,0,0,18,3,18,18,3,0,0,15,187,25,95,27,51,67,42,74,25,49,7,7,13,7,2,2,59,0.71,32,32,42,26,HIGH
Class,1,1,1,1,14,0,5,9,1,3,0,0,0,6,0,6,38,0,0,0,6,110,12,36,10,19,68,15,25,10,15,4,4,4,1,5,1,0,1.89,9,9,9,6,HIGH
Public Class,1,1,1,1,10,0,9,1,1,3,0,0,2,6,0,6,82,0,0,0,6,80,9,59,21,40,12,37,48,21,27,4,4,4,1,3,3,83,0.2,10,10,10,6,HIGH
Public Class,3,3,3,1,28,2,14,12,1,14,0,0,1,7,5,7,32,0,0,0,7,302,37,108,27,69,164,51,76,20,56,8,8,8,1,2,2,71,1.52,24,24,25,7,HIGH
Public Abstract Class,3,3,4,1,26,2,15,8,2,19,10,0,0,30,8,30,30,0,7,4,19,947,120,462,140,329,365,267,382,136,246,22,22,23,7,1,5,79,0.79,114,114,121,42,HIGH
Public Class,5,3,5,2,12,0,12,0,3,8,0,1,0,490,40,491,491,0,357,0,134,6993,516,6377,685,4704,113,2982,4590,690,3900,127,17,127,17,1,16,97,0.02,2671,1726,2681,1231,HIGH
Public Class,1,1,1,1,7,0,6,0,2,2,0,1,0,5,1,6,6,0,1,0,5,57,6,43,16,26,8,29,38,18,20,2,2,2,1,1,1,33,0.19,8,8,8,6,HIGH
Public Class,4,4,4,2,30,0,28,1,1,8,0,0,4,4,0,4,4,0,1,0,3,181,12,157,43,121,15,74,100,37,63,6,6,6,3,1,4,75,0.1,17,17,18,8,HIGH
