Results	Entity	Line	Column	CheckID	Check Name
                Multiple exit points from method	AddAsisRemove.resolve	903	22	JAVA_03	Single exit point at end
                No exit point in method	AddEofFilter.AddEofFilter	708	15	JAVA_03	Single exit point at end
                Multiple exit points from method	AddEofFilter.read	712	19	JAVA_03	Single exit point at end
                No exit point in method	AddTabFilter.AddTabFilter	760	15	JAVA_03	Single exit point at end
                Exit point not at end of method	CrLf.getValues	955	24	JAVA_03	Single exit point at end
                Multiple exit points from method	CrLf.resolve	976	13	JAVA_03	Single exit point at end
                No exit point in method	MaskJavaTabLiteralsFilter.MaskJavaTabLiteralsFilter	515	15	JAVA_03	Single exit point at end
                No exit point in method	NormalizeEolFilter.NormalizeEolFilter	630	15	JAVA_03	Single exit point at end
                No exit point in method	RemoveEofFilter.RemoveEofFilter	731	15	JAVA_03	Single exit point at end
                Multiple exit points from method	RemoveEofFilter.read	741	19	JAVA_03	Single exit point at end
                No exit point in method	RemoveTabFilter.RemoveTabFilter	838	15	JAVA_03	Single exit point at end
                No exit point in method	SimpleFilterReader.SimpleFilterReader	409	15	JAVA_03	Single exit point at end
                No exit point in method	FixCrLfFilter.FixCrLfFilter	97	11	JAVA_03	Single exit point at end
                No exit point in method	FixCrLfFilter.FixCrLfFilter	109	11	JAVA_03	Single exit point at end
                Multiple exit points from method	FixCrLfFilter.calculateEolString	240	26	JAVA_03	Single exit point at end
                Exit point not at end of method	FixCrLfFilter.chain	139	18	JAVA_03	Single exit point at end
                Violation: FixCrLfFilter.read defined but not called.	FixCrLfFilter.read	295	28	JAVA_04	Unused Methods
                Violation: AddAsisRemove.hashCode defined but not called.	AddAsisRemove.hashCode	899	19	JAVA_04	Unused Methods
                Violation: CrLf.hashCode defined but not called.	CrLf.hashCode	972	19	JAVA_04	Unused Methods
                Violation: SimpleFilterReader.push defined but not called.	SimpleFilterReader.push	438	20	JAVA_04	Unused Methods
                Violation: SimpleFilterReader.close defined but not called.	SimpleFilterReader.close	454	20	JAVA_04	Unused Methods
                Violation: SimpleFilterReader.reset defined but not called.	SimpleFilterReader.reset	458	20	JAVA_04	Unused Methods
                Violation: SimpleFilterReader.markSupported defined but not called.	SimpleFilterReader.markSupported	462	23	JAVA_04	Unused Methods
                Violation: SimpleFilterReader.ready defined but not called.	SimpleFilterReader.ready	466	23	JAVA_04	Unused Methods
                Violation: SimpleFilterReader.mark defined but not called.	SimpleFilterReader.mark	470	20	JAVA_04	Unused Methods
                Violation: SimpleFilterReader.skip defined but not called.	SimpleFilterReader.skip	474	20	JAVA_04	Unused Methods
                Violation: SimpleFilterReader.read defined but not called.	SimpleFilterReader.read	478	19	JAVA_04	Unused Methods
                Calling too many functions (14)	FixCrLfFilter.chain	139	18	METRIC_00	Program Unit Call Count
                Calling too many functions (10)	FixCrLfFilter.initInternalFilters	259	17	METRIC_00	Program Unit Call Count
                Called by too many functions (6)	SimpleFilterReader.SimpleFilterReader	409	15	METRIC_01	Program Unit Callby Count
                Called by too many functions (7)	SimpleFilterReader.read	450	19	METRIC_01	Program Unit Callby Count
                Comment/Code Ratio too low (17%)	FixCrLfFilter.calculateEolString	240		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	AddAsisRemove.resolve	903		METRIC_02	Program Unit Comment to Code Ratio
